項目ID,提出部門,起案者,提出日,項目名,コスト種別,ベンダー,対象範囲,契約満了_更新時期,前年度予算額,前年度実績額,当年度要求額,増減額,増減率_pct,増減理由,継続要否,削減余地,削減余地の内容,VMO連携要否,査定結果,査定後金額,VMO引継,審査コメント
BAU-IS-2026-012,情報システム,小林,2026-01-14,グループウェア年間ライセンス,ライセンス,A社,"全社員1,200名分",2026-09,18000000,18000000,18000000,0,0.0,前年同額・据置。ユーザー数・契約条件に変更なし,継続必須,要調査,更新期にプラン見直し・他社比較の余地。実利用ライセンス数の精査で減数可能性,要,,,,
BAU-IS-2026-018,情報システム,木村,2026-01-14,業務システム基盤のクラウド利用料,クラウド利用,B社,基幹・周辺10システム分,従量(随時),24000000,25200000,28800000,4800000,20.0,データ量増とシステム追加2件により従量料金が増加,継続必須,あり,リザーブドインスタンス化・未使用リソース棚卸しで10〜15%圧縮余地,要,,,,
BAU-IS-2026-005,情報システム,田中,2026-01-12,基幹システム保守契約,保守,C社,ERP本体および周辺連携,2026-12,32000000,32000000,33600000,1600000,5.0,保守料の年次改定(+5%)による増,継続必須,要調査,複数年契約化による単価抑制の交渉余地。次回更新で他社保守の比較検討,要,,,,
BAU-IS-2026-023,情報システム,伊藤,2026-01-11,拠点間ネットワーク回線費,回線・通信,D社,本社・4拠点間WAN,2026-06,14400000,14400000,13200000,-1200000,-8.3,回線plan見直しにより減額。冗長構成の一部最適化,継続必須,あり,更新期に帯域・plan再精査。SD-WAN化検討で追加削減余地,要,,,,
BAU-IS-2026-030,情報システム,山田,2026-01-15,セキュリティ監視サービス(SOC),外部委託,E社,全社エンドポイント・サーバ監視,2026-10,16800000,16800000,16800000,0,0.0,前年同額・据置。監視対象・SLAに変更なし,継続必須,なし,,,,,,
BAU-IS-2026-041,情報システム,小林,2026-01-13,インフラ保守運用の常駐委託,保守人件費,F社,データセンター運用2名常駐,2026-03,21600000,21600000,22800000,1200000,5.6,委託単価改定と作業範囲拡大による増,継続必須,要調査,作業内容の棚卸しで一部内製化・遠隔監視化の余地。契約範囲の精査,要,,,,
QA-2026-BAU-002,品質保証(QA),高橋,2026-01-16,品質文書管理システム保守,保守,G社,QA文書管理システム,2026-08,9600000,9600000,9600000,0,0.0,前年同額・据置,継続必須,要調査,更新期に他ベンダー保守の比較余地,要,,,,
RA-2026-BAU-004,薬事(RA),渡辺,2026-01-18,規制情報データベース購読,ライセンス,H社,各国規制DB 5名分,2027-03,7200000,7200000,7560000,360000,5.0,購読プランの価格改定(+5%),継続必須,要調査,利用者数の実態精査。他社DB併用の是非を検討,要,,,,
MA-2026-BAU-003,メディカル(MA),吉田,2026-01-19,医療情報提供システム保守,保守,A社,MA情報提供基盤,2026-07,6000000,6000000,6000000,0,0.0,前年同額・据置,継続必須,なし,,,,,,
PV-2026-BAU-002,安全性(PV),中村,2026-01-20,安全性DB保守・サポート,保守,I社,副作用症例管理DB,2026-11,13200000,13200000,13860000,660000,5.0,サポート料改定と当局様式対応の追加保守,継続必須,なし,,,,,,
BAU-IS-2026-047,情報システム,木村,2026-01-13,オフィスソフト包括ライセンス,ライセンス,B社,"全社員1,200名分",2026-12,28800000,28800000,30000000,1200000,4.2,ユーザー数増(+50名)とプラン改定,継続必須,あり,上位プランの利用実態精査でプランダウングレード余地。統合契約交渉,要,,,,
HR-2026-BAU-001,人事,松本,2026-01-22,勤怠・給与システム保守,保守,J社,勤怠・給与システム,2026-05,5400000,5400000,5400000,0,0.0,前年同額・据置,継続必須,要調査,更新期に他社比較の余地,要,,,,
FIN-2026-BAU-002,経理,井上,2026-01-17,会計システムクラウド利用料,クラウド利用,K社,会計・経費精算,従量(年契約),9000000,9000000,8100000,-900000,-10.0,利用モジュール見直しにより減額,継続必須,あり,未使用モジュールの解約継続で追加削減余地,不要,,,,
BAU-IS-2026-052,情報システム,伊藤,2026-01-11,モバイル回線費(社用端末),回線・通信,D社,社用スマートフォン300台,従量(随時),7200000,7560000,7200000,0,0.0,利用実態に合わせたplan最適化で据置,継続必須,要調査,端末数の棚卸しと不稼働回線の解約余地,要,,,,
BAU-IS-2026-058,情報システム,山田,2026-01-15,バックアップストレージ保守,保守,C社,バックアップ基盤,2026-09,4800000,4800000,4800000,0,0.0,前年同額・据置,縮小検討可,要調査,データ保管方針見直しで容量・保管期間の最適化余地,要,,,,
